sites.sitename,lat,lon,mean,stand.age,dominant.veg,scientific.name,variable.name,city,state,country,soil.classification,continent,biogeog,FAO.ecozone
Prince Albert SSA (SOAS),53.629,-106.2,141.9,75,2TDB,,biomass_ag_C,NAC,Saskatchewan,Canada,NAC,North America,Nearctic,Boreal coniferous forest
Prince Albert SSA (SOBS),53.987,-105.12,49.24,115,2TEN,,biomass_ag_C,NAC,Saskatchewan,Canada,NAC,North America,Nearctic,Boreal coniferous forest
Prince Albert SSA (SOBS),53.987,-105.12,49.1,120,2TEN,,biomass_ag_C,NAC,Saskatchewan,Canada,NAC,North America,Nearctic,Boreal coniferous forest
Prince Albert SSA (SOBS),53.987,-105.12,51.4,115,2TEN,,biomass_ag_C,NAC,Saskatchewan,Canada,NAC,North America,Nearctic,Boreal coniferous forest
Prince Albert SSA (SOJP),53.916,-104.692,34.55,65,2TEN,,biomass_ag_C,NAC,Saskatchewan,Canada,NAC,North America,Nearctic,Boreal coniferous forest
Prince Albert SSA (SOJP),53.916,-104.692,14.3,65,2TEN,,biomass_ag_C,NAC,Saskatchewan,Canada,NAC,North America,Nearctic,Boreal coniferous forest
Prince Albert SSA (SYJP),53.92,-104.68,12.26,25,2TEN,,biomass_ag_C,NAC,Saskatchewan,Canada,NAC,North America,Nearctic,Boreal coniferous forest
Puechabon,43.74,3.59,54.24,63,2TEB,,biomass_ag_C,NAC,Herault,France,Rhado chromic luvisol,Europe,Palearctic,Subtropical dry forest
Qianshan,40.5,123.2,57.2,95,2TEN,,biomass_ag_C,NAC,Liaoning,China,NAC,Asia,Palearctic,Temperate continental forest
Qilian,37.47,101.21,55.7,150,2TEN,,biomass_ag_C,NAC,Qinghai,China,NAC,Asia,Palearctic,Temperate mountain system
Qinling,33.9,107.7,63.1,125,2TEN,,biomass_ag_C,NAC,Shaanxi,China,NAC,Asia,Palearctic,Temperate mountain system
Qiqian,52.2,120.8,64.6,171,2TEN,,biomass_ag_C,Hulunbeier,Inner Mongol,China,NAC,Asia,Palearctic,Boreal coniferous forest
Qiuxiang,33.58,103.28,92.3,133,2TEN,,biomass_ag_C,Ruo'ergai,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
Red Pine Chronosequence 02,47.083,-88.65,0.21,2,2TEN,Pinus resinosa,biomass_ag_C,South Range,Michigan,United States of America,Spodosol,North America,Nearctic,Temperate continental forest
Red Pine Chronosequence 03,46.5,-87.9,0.53,3,2TEN,Pinus resinosa,biomass_ag_C,Champion,Michigan,United States of America,Spodosol,North America,Nearctic,Temperate continental forest
Red Pine Chronosequence 05,45.517,-87.87,4.71,5,2TEN,Pinus resinosa,biomass_ag_C,Champion,Michigan,United States of America,Spodosol,North America,Nearctic,Temperate continental forest
Red Pine Chronosequence 08,46.5,-87.9,9.89,8,2TEN,Pinus resinosa,biomass_ag_C,Champion,Michigan,United States of America,Spodosol,North America,Nearctic,Temperate continental forest
Red Pine Chronosequence 12,46.25,-87.95,18.61,12,2TEN,Pinus resinosa,biomass_ag_C,Republic,Michigan,United States of America,Spodosol,North America,Nearctic,Temperate continental forest
Red Pine Chronosequence 17,47.1,-88.683,41.89,17,2TEN,Pinus resinosa,biomass_ag_C,Atlantic Mine,Michigan,United States of America,Spodosol,North America,Nearctic,Temperate continental forest
Red Pine Chronosequence 22,46.25,-88.95,53.39,22,2TEN,Pinus resinosa,biomass_ag_C,Republic,Michigan,United States of America,Spodosol,North America,Nearctic,Temperate continental forest
Red Pine Chronosequence 33,46.3,-87.93,118.2,33,2TEN,Pinus resinosa,biomass_ag_C,Republic,Michigan,United States of America,Spodosol,North America,Nearctic,Temperate continental forest
Red Pine Chronosequence 55,47.1,-88.683,87.94,55,2TEN,Pinus resinosa,biomass_ag_C,Atlantic Mine,Michigan,United States of America,Spodosol,North America,Nearctic,Temperate continental forest
Reserva Biologica San Francisco 1,-3.98,-79.1,84.07,999,2TEB,,biomass_ag_C,NAC,Zamora Chinchipe,Ecuador,Alfisol,South America,Neotropics,Tropical mountain system
Reserva Biologica San Francisco 2,-3.99,-79.1,47.77,999,2TEB,,biomass_ag_C,NAC,Zamora Chinchipe,Ecuador,Alfisol,South America,Neotropics,Tropical mountain system
Rilonggou 1,30.9,102.4,55.8,193,2TDN,,biomass_ag_C,Xiaojin,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
Rilonggou 2,30.9,102.4,83.4,199,2TEN,,biomass_ag_C,Xiaojin,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
Rio Branco,-10.12,-68.0,95.0,999,2TEB,,biomass_ag_C,NAC,Acre (western Amazon),Brazil,NAC,South America,Neotropics,Tropical rainforest
Roccarespampani 1,42.4081,11.93,6.91,1,2TDB,,biomass_ag_C,NAC,Viterbo,Italy,NAC,Europe,Palearctic,Subtropical dry forest
Roccarespampani 2,42.3903,11.9209,24.08,10,2TDB,,biomass_ag_C,NAC,Viterbo,Italy,NAC,Europe,Palearctic,Subtropical dry forest
Rocky Mt. NP (cool temperate montane),40.28,-105.63,124.0,NI,2TEN,,biomass_ag_C,NAC,Colorado,United States of America,NAC,North America,Nearctic,Temperate mountain system
Rondonia,-9.2,-60.05,195.0,999,2TEB,,biomass_ag_C,NAC,Mato Grosso,Brazil,NAC,South America,Neotropics,Tropical rainforest
Rongyu,28.7,96.7,56.2,80,2TEN,,biomass_ag_C,Shangchayu,Tibet,China,NAC,Asia,Palearctic,Subtropical mountain system
"Rothrock S.F., Allan Seeger Natural Area",40.69591,-77.75418,115.6,273,2TEN,,biomass_ag_C,NAC,Pennsylvania,United States of America,NAC,North America,Nearctic,Temperate mountain system
"Rothrock S.F., Detweiler Run Natural Area",40.7171,-77.7466,142.5,203,2TEN,,biomass_ag_C,NAC,Pennsylvania,United States of America,NAC,North America,Nearctic,Temperate mountain system
Rovaniemi,66.34,25.5,77.0,NI,2TEN,,biomass_ag_C,NAC,Lapland,Finland,NAC,Europe,Palearctic,Boreal coniferous forest
Rudolph Family Farm,39.23722,-78.5336,210.0,170,2TDB,,biomass_ag_C,NAC,West Virginia,United States of America,NAC,North America,Nearctic,Temperate mountain system
Ruo'ergai,33.76,103.34,74.1,137,2TEN,,biomass_ag_C,NAC,Sichuan/Gansu?,China,NAC,Asia,Palearctic,Temperate mountain system
Saddler Woods,39.90046,-75.05795,249.8,159,2TDB,,biomass_ag_C,NAC,New Jersey,United States of America,NAC,North America,Nearctic,Temperate continental forest
San Carlos de Rio Negro Species-rich Tierra Firme (Oxisols),1.93,-67.05,126.72,999,2TEB,,biomass_ag_C,NAC,Amazonas,Venezuela,Oxisol,South America,Neotropics,Tropical rainforest
San Eusebio,8.62,-71.35,166.89,999,2TEB,,biomass_ag_C,NAC,Merida,Venezuela,NAC,South America,Neotropics,Tropical mountain system
San Lorenzo CTFS-ForestGEO plot,9.2815,-79.974,144.0,999,2TB,,biomass_ag_C,NAC,Colon,Panama,NAC,North America,Neotropics,Tropical rainforest
San Lorenzo CTFS-ForestGEO plot,9.2815,-79.974,144.0,999,2TB,,biomass_ag_C,NAC,Colon,Panama,NAC,North America,Neotropics,Tropical rainforest
San Lorenzo CTFS-ForestGEO plot,9.2815,-79.974,146.0,999,2TB,,biomass_ag_C,NAC,Colon,Panama,NAC,North America,Neotropics,Tropical rainforest
San Lorenzo CTFS-ForestGEO plot,9.2815,-79.974,145.71,999,2TB,,biomass_ag_C,NAC,Colon,Panama,NAC,North America,Neotropics,Tropical rainforest
San Pablo de Tregua,-39.63,-72.08,332.0,NI,2TEB,,biomass_ag_C,NAC,Araucania,Chile,NAC,South America,Neotropics,Temperate oceanic forest
San Pablo de Tregua,-39.63,-72.08,439.0,NI,2TEB,,biomass_ag_C,NAC,Araucania,Chile,NAC,South America,Neotropics,Temperate oceanic forest
Santiam Pass,44.42,-121.8,177.74,NI,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
"Savage River S.F., Turkey Lodge",39.62002,-79.11046,130.8,92,2TDB,,biomass_ag_C,NAC,Maryland,United States of America,NAC,North America,Nearctic,Temperate mountain system
Savanna sites within 65km of Darwin,-12.4634,130.8456,33.6,NI,2TDB,,biomass_ag_C,Darwin,Northern Territory,Australia,NAC,Australia,Australasia,Tropical dry forest
Schacht,50.06,11.83,130.8,120,2TDB,,biomass_ag_C,NAC,Bayern,Germany,NAC,Europe,Palearctic,Temperate mountain system
Schanze,50.15,11.87,46.38,35,2TEN,,biomass_ag_C,NAC,Bayern,Germany,NAC,Europe,Palearctic,Temperate oceanic forest
Schobertreuth,50.15,11.87,30.35,16,2TEN,,biomass_ag_C,NAC,Bayern,Germany,NAC,Europe,Palearctic,Temperate oceanic forest
Scio,44.68,-122.6,195.98,NI,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Shangbaozuo 1,34.2,102.93,86.3,114,2TEN,,biomass_ag_C,Ruo'ergai,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
Shangbaozuo 2,33.27,103.82,72.1,131,2TEN,,biomass_ag_C,Ruo'ergai,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
Shangbaozuo 3,33.28,103.66,72.8,92,2TEN,,biomass_ag_C,Ruo'ergai,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
Shangbaozuo 4,33.52,103.3,80.7,142,2TEN,,biomass_ag_C,Ruo'ergai,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
Shangbaozuo 5,33.5,103.57,86.9,119,2TEN,,biomass_ag_C,Ruo'ergai,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
Shangbaozuo 6,33.52,103.54,118.6,146,2TEN,,biomass_ag_C,Ruo'ergai,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
Shangbaozuo 7,33.52,105.4,157.9,109,2TEN,,biomass_ag_C,Ruo'ergai,Sichuan/Gansu?,China,NAC,Asia,Palearctic,Subtropical mountain system
Shawan,44.3,85.6,82.1,95,2TEN,,biomass_ag_C,NAC,Xinjiang,China,NAC,Asia,Palearctic,Temperate desert
Shennongjia,31.7,110.6,53.5,151,2TEN,,biomass_ag_C,NAC,Hubei,China,NAC,Asia,Palearctic,Subtropical mountain system
Shigayama,36.67,138.5,90.48,292,2TEN,,biomass_ag_C,NAC,Gunma,Japan,NAC,Asia,Palearctic,Temperate mountain system
"Sichuan Picea, Abies",32.0,103.0,149.7,NI,2TEN,,biomass_ag_C,NAC,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
"Sichuan Populus, Betula",32.98,104.19,48.4,83,2TDB,,biomass_ag_C,NAC,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
Skogaby,56.55,13.21,58.4,31,2TEN,Picea abies,biomass_ag_C,NAC,Halland,Sweden,NAC,Europe,Palearctic,Temperate oceanic forest
Skyttorp1,60.13,17.92,2.11,2,2TEN,,biomass_ag_C,NAC,Uppsala,Sweden,NAC,Europe,Palearctic,Temperate continental forest
Skyttorp2,60.13,17.84,60.63,32,2TEN,,biomass_ag_C,NAC,Uppsala,Sweden,NAC,Europe,Palearctic,Temperate continental forest
Skyttorp2,60.13,17.84,52.81,29,2TEN,,biomass_ag_C,NAC,Uppsala,Sweden,NAC,Europe,Palearctic,Temperate continental forest
Skyttorp3,60.12,17.82,73.1,60,2TEN,,biomass_ag_C,NAC,Uppsala,Sweden,NAC,Europe,Palearctic,Temperate continental forest
Slash pine Florida mid,29.73,-82.15,22.85,12,2TEN,Pinus elliottii,biomass_ag_C,NAC,Florida,United States of America,NAC,North America,Nearctic,Subtropical humid forest
Slash pine Florida rotation-aged,29.73,-82.15,82.71,25,2TEN,Pinus elliottii,biomass_ag_C,NAC,Florida,United States of America,NAC,North America,Nearctic,Subtropical humid forest
"Smithsonian Environmental Research Center (SERC), Frog Canyon",38.88478,-76.55362,219.7,138,2TDB,,biomass_ag_C,NAC,Maryland,United States of America,NAC,North America,Nearctic,Subtropical humid forest
"Smithsonian Environmental Research Center (SERC), Hog Island",38.87833,-76.55165,194.0,258,2TDB,,biomass_ag_C,NAC,Maryland,United States of America,NAC,North America,Nearctic,Temperate continental forest
Songfan,32.6,103.6,124.3,198,2TEN,,biomass_ag_C,NAC,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
Soroe,55.49,11.65,83.15,84,2TDB,,biomass_ag_C,NAC,Sjaeland,Denmark,Mollisol,Europe,Palearctic,Temperate oceanic forest
Southern Appalachians,35.68,-83.42,236.0,NI,2TREE,,biomass_ag_C,NAC,Tennessee,United States of America,NAC,North America,Nearctic,Temperate mountain system
Southern Finland,61.65,29.28,28.0,NI,2TEN,,biomass_ag_C,NAC,Southern Savonia,Finland,NAC,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 1",62.0,34.0,13.29,37,2TEN,,biomass_ag_C,NAC,Karelia,Russia,NAC,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 1",62.0,34.0,14.1,37,2TEN,,biomass_ag_C,NAC,Karelia,Russia,NAC,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 10",62.0,34.0,36.75,45,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 10",62.0,34.0,11.5,45,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 11",62.0,34.0,46.11,54,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 11",62.0,34.0,35.2,54,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 12",62.0,34.0,62.32,68,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 12",62.0,34.0,50.5,68,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 13",62.0,34.0,67.77,82,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 13",62.0,34.0,55.1,82,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 14",62.0,34.0,87.09,98,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 14",62.0,34.0,73.9,98,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 15",62.0,34.0,90.38,109,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 15",62.0,34.0,76.2,109,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 16",62.0,34.0,98.09,126,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 16",62.0,34.0,83.0,126,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 17",62.0,34.0,94.24,138,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 17",62.0,34.0,77.0,138,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 2",62.0,34.0,21.58,45,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 2",62.0,34.0,27.4,45,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 3",62.0,34.0,32.74,39,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 3",62.0,34.0,22.3,39,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 4",62.0,34.0,37.31,43,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 4",62.0,34.0,26.3,43,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 5",62.0,34.0,41.12,38,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 5",62.0,34.0,30.3,38,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 6",62.0,34.0,16.22,42,2TEN,,biomass_ag_C,NAC,Karelia,Russia,NAC,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 6",62.0,34.0,17.3,42,2TEN,,biomass_ag_C,NAC,Karelia,Russia,NAC,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 7",62.0,34.0,19.63,41,2TEN,,biomass_ag_C,NAC,Karelia,Russia,NAC,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 7",62.0,34.0,20.9,41,2TEN,,biomass_ag_C,NAC,Karelia,Russia,NAC,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 8",62.0,34.0,11.7,22,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 8",62.0,34.0,12.5,22,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 9",62.0,34.0,29.14,37,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
"Southern Karelian Spruce, Site 9",62.0,34.0,20.1,37,2TEN,,biomass_ag_C,NAC,Karelia,Russia,Podosol,Europe,Palearctic,Boreal coniferous forest
southern NSW & Vict.,-37.26,148.71,294.0,NI,2TEB,,biomass_ag_C,NAC,Victoria,Australia,NAC,Australia,Australasia,Temperate oceanic forest
southern Poland,50.47,22.98,68.0,NI,2TEN,,biomass_ag_C,NAC,Lublin,Poland,NAC,Europe,Palearctic,Temperate continental forest
southern Queensland,-27.33,152.75,224.0,NI,2TEB,,biomass_ag_C,NAC,Queensland,Australia,NAC,Australia,Australasia,Subtropical humid forest
southern Tasmania 1,-43.21,146.7,444.0,NI,2TEB,,biomass_ag_C,NAC,Tasmania,Australia,NAC,Australia,Australasia,Temperate mountain system
southern Tasmania 2,-43.09,146.7,668.0,NI,2TEB,,biomass_ag_C,NAC,Tasmania,Australia,NAC,Australia,Australasia,Temperate mountain system
southern Tasmania 3,-42.83,146.57,752.0,NI,2TEB,,biomass_ag_C,NAC,Tasmania,Australia,NAC,Australia,Australasia,Temperate mountain system
Susser Schlag,50.15,11.87,110.32,72,2TEN,,biomass_ag_C,NAC,Bayern,Germany,NAC,Europe,Palearctic,Temperate oceanic forest
"Sweetbriar College, Carry Sanctuary",37.55574,-79.07461,121.4,284,2TDB,,biomass_ag_C,NAC,Virginia,United States of America,NAC,North America,Nearctic,Subtropical humid forest
"Sweetbriar College, Constitution Oaks",37.55705,-79.07084,142.3,284,2TDB,,biomass_ag_C,NAC,Virginia,United States of America,NAC,North America,Nearctic,Subtropical humid forest
Sylvania,46.24,-89.34,126.98,350,2TM,,biomass_ag_C,NAC,Michigan,United States of America,NAC,North America,Nearctic,Temperate continental forest
Tablelands Juniper Savanna,34.43,-105.86,15.8,NI,2TEN,,biomass_ag_C,NAC,New Mexico,United States of America,NAC,North America,Nearctic,Subtropical steppe
Tahe Larix,52.3,124.7,34.0,111,2TDN,,biomass_ag_C,Daxing'anling,Heilongjiang,China,NAC,Asia,Palearctic,Boreal coniferous forest
Tahe Pinus sylvestris var. mongolica,52.3,124.7,53.0,134,2TEN,,biomass_ag_C,Daxing'anling,Heilongjiang,China,NAC,Asia,Palearctic,Boreal coniferous forest
Takayama,36.14617,137.4231,134.88,37,2TDB,,biomass_ag_C,Takayama,Gifu,Japan,Brown forest soil (Dystric Cambisols),Asia,Palearctic,Temperate mountain system
Takayama,36.14617,137.4231,62.1,41,2TDB,,biomass_ag_C,Takayama,Gifu,Japan,Brown forest soil (Dystric Cambisols),Asia,Palearctic,Temperate mountain system
Takayama,36.14617,137.4231,62.1,42,2TDB,,biomass_ag_C,Takayama,Gifu,Japan,Brown forest soil (Dystric Cambisols),Asia,Palearctic,Temperate mountain system
Takayama,36.14617,137.4231,62.1,43,2TDB,,biomass_ag_C,Takayama,Gifu,Japan,Brown forest soil (Dystric Cambisols),Asia,Palearctic,Temperate mountain system
Takayama,36.14617,137.4231,62.1,44,2TDB,,biomass_ag_C,Takayama,Gifu,Japan,Brown forest soil (Dystric Cambisols),Asia,Palearctic,Temperate mountain system
Takayama,36.14617,137.4231,62.1,45,2TDB,,biomass_ag_C,Takayama,Gifu,Japan,Brown forest soil (Dystric Cambisols),Asia,Palearctic,Temperate mountain system
Tambopata-Candamo Reserve permanent plot TAM-06,-12.8385,-69.296,112.1,999,2TEB,,biomass_ag_C,NAC,Madre de Dios,Peru,Ultisol / Haplic Alisol,South America,Neotropics,Tropical rainforest
Tambopata-Candamo Reserve permanent plot TAM-05,-12.83029,-69.27053,142.2,999,2TEB,,biomass_ag_C,NAC,Madre de Dios,Peru,Inceptisol / Haplic Cambisol,South America,Neotropics,Tropical rainforest
Tampere,61.28,23.44,102.0,NI,2TEN,,biomass_ag_C,NAC,Pirkanmaa,Finland,NAC,Europe,Palearctic,Boreal coniferous forest
Tanguro,-13.08,-52.3858,75.2,999,2TDB,,biomass_ag_C,NAC,Mato Grosso,Brazil,Ferralsol,South America,Neotropics,Tropical moist forest
Tanguro,-13.08,-52.3858,57.8,NRA,2TDB,,biomass_ag_C,NAC,Mato Grosso,Brazil,Ferralsol,South America,Neotropics,Tropical moist forest
Tapajos 1,-2.85,-54.97,153.0,999,2TEB,,biomass_ag_C,Santarem,Para,Brazil,NAC,South America,Neotropics,Tropical rainforest
Tapajos 2,-2.85,-54.97,141.0,999,2TEB,,biomass_ag_C,Santarem,Para,Brazil,NAC,South America,Neotropics,Tropical rainforest
Tapajos NF near km 67 on BR-163,-2.856661,-54.95891,143.7,999,2TEB,,biomass_ag_C,NAC,Para,Brazil,Oxisol,South America,Neotropics,Tropical rainforest
Tapajos NF near km 67 on BR-163,-2.856661,-54.95891,147.4,999,2TEB,,biomass_ag_C,NAC,Para,Brazil,Oxisol,South America,Neotropics,Tropical rainforest
Tharandt,50.96,13.57,102.24,105,2TEN,,biomass_ag_C,NAC,Sachsen,Germany,Loamy skeleton podzol,Europe,Palearctic,Temperate oceanic forest
Tharandt,50.96,13.57,150.41,106,2TEN,,biomass_ag_C,NAC,Sachsen,Germany,Loamy skeleton podzol,Europe,Palearctic,Temperate oceanic forest
Tharandt 24,50.91,13.46,32.41,24,2TEN,,biomass_ag_C,NAC,Sachsen,Germany,NAC,Europe,Palearctic,Temperate oceanic forest
Tharandt 42,50.93,13.48,102.73,42,2TEN,,biomass_ag_C,NAC,Sachsen,Germany,NAC,Europe,Palearctic,Temperate oceanic forest
Tharandt 5,50.93,13.48,0.46,5,2TEN,,biomass_ag_C,NAC,Sachsen,Germany,NAC,Europe,Palearctic,Temperate oceanic forest
Tharandt 97,50.93,13.46,110.74,97,2TEN,,biomass_ag_C,NAC,Sachsen,Germany,NAC,Europe,Palearctic,Temperate oceanic forest
Thompson dry chronosequence,55.8,-97.87,72.0,NI,2TEN,,biomass_ag_C,NAC,Manitoba,Canada,Alfisol,North America,Nearctic,Boreal coniferous forest
Thompson NSA (NOAS),55.9,-98.47,56.95,53,2TDB,,biomass_ag_C,NAC,Manitoba,Canada,NAC,North America,Nearctic,Boreal coniferous forest
Thompson NSA (NOAS),55.9,-98.47,62.9,53,2TDB,,biomass_ag_C,NAC,Manitoba,Canada,NAC,North America,Nearctic,Boreal coniferous forest
Thompson NSA (NOBS),55.879,-98.484,57.21,114,2TEN,,biomass_ag_C,NAC,Manitoba,Canada,NAC,North America,Nearctic,Boreal coniferous forest
Thompson NSA (NOJP),55.9,-98.47,28.99,63,2TEN,,biomass_ag_C,NAC,Manitoba,Canada,NAC,North America,Nearctic,Boreal coniferous forest
Thompson NSA (NOJP),55.9,-98.47,57.9,63,2TEN,,biomass_ag_C,NAC,Manitoba,Canada,NAC,North America,Nearctic,Boreal coniferous forest
Thompson NSA (NYJP),55.9,-98.47,7.8,25,2TEN,,biomass_ag_C,NAC,Manitoba,Canada,NAC,North America,Nearctic,Boreal coniferous forest
Thompson NSA (NYJP),55.9,-98.47,30.9,25,2TEN,,biomass_ag_C,NAC,Manitoba,Canada,NAC,North America,Nearctic,Boreal coniferous forest
Thompson Seattle,47.38,-121.95,81.92,50,2TEN,Pseudotsuga menziesii,biomass_ag_C,NAC,Washington,United States of America,NAC,North America,Nearctic,Temperate oceanic forest
Thompson wet chronosequence,55.8,-97.87,31.0,NI,2TEN,,biomass_ag_C,NAC,Manitoba,Canada,Alfisol,North America,Nearctic,Boreal coniferous forest
Thong Pha Phum NF,14.67,98.68,70.0,999,2TEB,,biomass_ag_C,NAC,Kanchanaburi,Thailand,NAC,Asia,IndoMalay,Tropical dry forest
Thong Pha Phum NF,14.67,98.68,48.0,999,2TD,,biomass_ag_C,NAC,Kanchanaburi,Thailand,NAC,Asia,IndoMalay,Tropical dry forest
Thong Pha Phum NF,14.67,98.68,138.0,999,2TEB,,biomass_ag_C,NAC,Kanchanaburi,Thailand,NAC,Asia,IndoMalay,Tropical dry forest
Tianchi,44.2,88.0,81.9,128,2TEN,,biomass_ag_C,Fukang,Xinjiang,China,NAC,Asia,Palearctic,Temperate desert
Tianshan,43.3,88.3,91.9,97,2TEN,,biomass_ag_C,Wusu,Xinjiang,China,NAC,Asia,Palearctic,Temperate mountain system
Toa Baja experiment station,18.45,-66.16667,21.95,4,2TM,Casuarina + Eucalyptus,biomass_ag_C,NAC,Puerto Rico,United States of America,Entisol,North America,Neotropics,Tropical rainforest
Toa Baja experiment station,18.45,-66.16667,31.6,4,2TM,Casuarina + Eucalyptus,biomass_ag_C,NAC,Puerto Rico,United States of America,Entisol,North America,Neotropics,Tropical rainforest
Toa Baja experiment station,18.45,-66.16667,12.3,4,2TM,Casuarina + Eucalyptus,biomass_ag_C,NAC,Puerto Rico,United States of America,Entisol,North America,Neotropics,Tropical rainforest
Toa Baja experiment station,18.45,-66.16667,28.0,4,2TM,Casuarina + Leucaena,biomass_ag_C,NAC,Puerto Rico,United States of America,Entisol,North America,Neotropics,Tropical rainforest
Toa Baja experiment station,18.45,-66.16667,40.7,4,2TM,Casuarina + Leucaena,biomass_ag_C,NAC,Puerto Rico,United States of America,Entisol,North America,Neotropics,Tropical rainforest
Toa Baja experiment station,18.45,-66.16667,15.3,4,2TM,Casuarina + Leucaena,biomass_ag_C,NAC,Puerto Rico,United States of America,Entisol,North America,Neotropics,Tropical rainforest
