sites.sitename,lat,lon,mean,stand.age,dominant.veg,scientific.name,variable.name,city,state,country,soil.classification,continent,biogeog,FAO.ecozone
Canada - Montane Cordillera,52.0,-118.0,107.0,NI,NAC,,biomass_ag_C,NAC,British Columbia,Canada,NAC,North America,Nearctic,Temperate mountain system
Canada - Pacific Maritime,51.0,-125.0,80.0,NI,2TEN,,biomass_ag_C,NAC,British Columbia,Canada,NAC,North America,Nearctic,Temperate mountain system
Canada - Taiga Plains,58.0,-118.0,99.0,NI,2TREE,,biomass_ag_C,NAC,Alberta,Canada,NAC,North America,Nearctic,Boreal tundra woodland
Canada - Western Boreal Shield,51.0,-99.0,33.0,NI,NAC,,biomass_ag_C,NAC,Manitoba,Canada,NAC,North America,Nearctic,Temperate steppe
Canada - Western Taiga Shield,59.0,-110.0,47.0,NI,2TEN,,biomass_ag_C,NAC,Alberta,Canada,NAC,North America,Nearctic,Boreal coniferous forest
Canal Flats mesic 1,50.1,-115.25,103.0,70,2TEN,,biomass_ag_C,NAC,British Columbia,Canada,NAC,North America,Nearctic,Temperate mountain system
Canal Flats mesic 2,50.1,-115.25,150.28,78,2TEN,,biomass_ag_C,NAC,British Columbia,Canada,NAC,North America,Nearctic,Temperate mountain system
Canal Flats xeric 1,50.1,-115.25,57.31,70,2TEN,,biomass_ag_C,NAC,British Columbia,Canada,NAC,North America,Nearctic,Temperate mountain system
Canal Flats xeric 2,50.1,-115.25,55.92,70,2TEN,,biomass_ag_C,NAC,British Columbia,Canada,NAC,North America,Nearctic,Temperate mountain system
Caopo,33.85,103.3,65.9,144,2TEN,,biomass_ag_C,Ruo'ergai,Sichuan/Gansu?,China,NAC,Asia,Palearctic,Temperate mountain system
Cascade Head (1),45.05,-123.97,340.94,999,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Cascade Head (1A),45.05,-123.97,57.74,NI,2TDB,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Cascade Head 1,45.1024,-123.8816,48.73,12,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Cascade Head 10,45.0679,-123.8882,451.16,185,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Cascade Head 11,45.0819,-123.9038,562.9,168,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Cascade Head 12,45.0445,-123.9007,538.34,178,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Cascade Head 2,45.0974,-123.8972,42.3,12,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Cascade Head 3,45.1122,-123.8841,38.01,14,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Cascade Head 4,45.1122,-123.8841,205.07,40,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Cascade Head 5,45.1122,-123.8841,99.77,22,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Cascade Head 6,45.0894,-123.8816,110.84,22,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Cascade Head 7,45.0894,-123.8807,201.49,45,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Cascade Head 8,45.0894,-123.8807,267.57,52,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Cascade Head 9,45.0699,-123.8949,279.72,46,2TEN,,biomass_ag_C,NAC,Oregon,United States of America,NAC,North America,Nearctic,Temperate mountain system
Caxiuana Drought Control CAX-04,-1.72,-51.46,225.3,999,2TEB,,biomass_ag_C,NAC,Para,Brazil,Vetic Acrisol,South America,Neotropics,Tropical rainforest
Caxiuana Tower CAX-06,-1.74,-51.46,170.9,999,2TEB,,biomass_ag_C,NAC,Para,Brazil,Geric Acric Ferralsol,South America,Neotropics,Tropical rainforest
Central Finland,64.72,26.02,34.0,NI,2TEN,,biomass_ag_C,NAC,Northern Ostrobothnia,Finland,NAC,Europe,Palearctic,Boreal coniferous forest
Central Highlands (cool temperate moist),-37.62,145.79,501.0,NI,2TEB,,biomass_ag_C,Central Highlands,Victoria,Australia,NAC,Australia,Australasia,Temperate mountain system
central Highlands of Victoria,-37.62,145.79,1053.0,500,2TEB,,biomass_ag_C,NAC,Victoria,Australia,NAC,Australia,Australasia,Temperate mountain system
Central South Island NZ,-43.25,172.0,123.0,NI,2TEB,,biomass_ag_C,NAC,Canterbury,New Zealand,NAC,Oceania,Australasia,Temperate oceanic forest
central Victoria (warm temperate moist),-37.43,145.18,678.0,NI,2TEB,,biomass_ag_C,NAC,Victoria,Australia,NAC,Australia,Australasia,Temperate mountain system
Chamela 2 Middle,19.5,-105.02,40.8,999,2TDB,,biomass_ag_C,NAC,Jalisco,Mexico,Entisols,North America,Neotropics,Tropical dry forest
Changbai,42.4,128.1,103.3,NI,2TM,,biomass_ag_C,NAC,Jilin,China,NAC,Asia,Palearctic,Temperate continental forest
Changbai (cool temperate montane Asia),41.0,127.0,147.0,NI,2TM,,biomass_ag_C,NAC,Chagang-do,China,NAC,Asia,Palearctic,Temperate continental forest
Changbaishan 3,42.4,128.1,53.6,80,2TDB,,biomass_ag_C,NAC,Jilin,China,NAC,Asia,Palearctic,Temperate continental forest
Changbaishan Larix 1,42.2,127.3,110.2,195,2TDN,,biomass_ag_C,Antu,Jilin,China,NAC,Asia,Palearctic,Temperate continental forest
"Changbaishan Picea, Abies",42.4,128.1,106.8,142,2TEN,,biomass_ag_C,Antu,Jilin,China,NAC,Asia,Palearctic,Temperate continental forest
"Changbaishan Populus, Betula",41.8,126.9,72.1,83,2TDB,,biomass_ag_C,Antu,Jilin,China,NAC,Asia,Palearctic,Temperate continental forest
"Changbaishan, Larix 2",42.4,128.1,109.7,177,2TDN,,biomass_ag_C,Antu,Jilin,China,NAC,Asia,Palearctic,Temperate continental forest
"Changbaishan, Larix 3",42.75,128.27,113.0,160,2TDN,,biomass_ag_C,Antu,Jilin,China,NAC,Asia,Palearctic,Temperate continental forest
Changdu,31.1,97.1,53.5,100,2TEN,,biomass_ag_C,NAC,Tibet,China,NAC,Asia,Palearctic,Subtropical mountain system
Changjiaba,33.5,107.9,77.7,80,2TEN,,biomass_ag_C,Foping,Shaanxi,China,NAC,Asia,Palearctic,Subtropical mountain system
Cheko,10.93,103.4,191.0,999,2TEB,,biomass_ag_C,NAC,Kaoh Kong,Cambodia,NAC,Asia,IndoMalay,Tropical rainforest
Chibougamau EOBS,49.692,-74.342,45.0,95,2TEN,,biomass_ag_C,NAC,Quebec,Canada,NAC,North America,Nearctic,Boreal coniferous forest
Chile,-40.5,-73.5,142.0,NI,2TEB,,biomass_ag_C,NAC,Los Lagos,Chile,NAC,South America,Neotropics,Temperate oceanic forest
Chuosixian,31.7,101.6,129.0,178,2TEN,,biomass_ag_C,Jinchuan,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
Cocoflux,-15.43,167.15,29.17,19,2TEB,Cocos nucifera,biomass_ag_C,NAC,Sanma,Vanuatu,NAC,Oceania,Australasia,Tropical rainforest
Cocoli CTFS-ForestGEO plot,8.9877,-79.6166,120.0,100,2TB,,biomass_ag_C,NAC,NAC,Panama,"Oxisols, Inceptisols",North America,Neotropics,Tropical moist forest
Cocoli CTFS-ForestGEO plot,8.9877,-79.6166,126.0,103,2TB,,biomass_ag_C,NAC,NAC,Panama,"Oxisols, Inceptisols",North America,Neotropics,Tropical moist forest
Cocoli CTFS-ForestGEO plot,8.9877,-79.6166,125.0,104,2TB,,biomass_ag_C,NAC,NAC,Panama,"Oxisols, Inceptisols",North America,Neotropics,Tropical moist forest
Collelongo,41.85,13.59,127.68,110,2TDB,,biomass_ag_C,NAC,L'Aquila,Italy,NAC,Europe,Palearctic,Subtropical mountain system
Collelongo,41.85,13.59,98.6,105,2TDB,,biomass_ag_C,NAC,L'Aquila,Italy,NAC,Europe,Palearctic,Subtropical mountain system
Cordillera de Piuchue,-42.5,-74.0,268.0,NI,2TEB,,biomass_ag_C,NAC,Los Lagos,Chile,NAC,South America,Neotropics,Temperate oceanic forest
Cordillera de Piuchue,-42.5,-74.0,179.0,NI,2TEB,,biomass_ag_C,NAC,Los Lagos,Chile,NAC,South America,Neotropics,Temperate oceanic forest
Cordillera de Piuchue,-42.5,-74.0,146.0,NI,2TE,,biomass_ag_C,NAC,Los Lagos,Chile,NAC,South America,Neotropics,Temperate oceanic forest
Coulissenhieb,50.15,11.87,124.42,145,2TEN,Picea abies,biomass_ag_C,NAC,Bayern,Germany,"Cambisol, Gleysol, Histosol",Europe,Palearctic,Temperate oceanic forest
Coulissenhieb,50.15,11.87,115.1,145,2TEN,Picea abies,biomass_ag_C,NAC,Bayern,Germany,"Cambisol, Gleysol, Histosol",Europe,Palearctic,Temperate oceanic forest
Cuieiras/C14,-2.58,-60.1,175.0,999,2TEB,,biomass_ag_C,NAC,Amazonas,Brazil,NAC,South America,Neotropics,Tropical rainforest
Cuieiras/C14,-2.58,-60.1,181.2,999,2TEB,,biomass_ag_C,NAC,Amazonas,Brazil,NAC,South America,Neotropics,Tropical rainforest
"Cumberland S.F., Rock Quarry",37.572573,-78.263619,153.8,155,2TDB,,biomass_ag_C,NAC,Virginia,United States of America,NAC,North America,Nearctic,Subtropical humid forest
Dafeng,47.7,128.9,88.2,104,2TEN,,biomass_ag_C,Yichun,Heilongjiang,China,NAC,Asia,Palearctic,Temperate continental forest
Dahai,43.3,129.7,74.2,132,2TEN,,biomass_ag_C,Wangqing,Jilin,China,NAC,Asia,Palearctic,Temperate continental forest
Dahailin Larix,44.3,129.4,93.7,114,2TDN,,biomass_ag_C,NAC,Heilongjiang,China,NAC,Asia,Palearctic,Temperate continental forest
"Dahailin Picea, Abies",44.3,129.4,82.2,131,2TEN,,biomass_ag_C,NAC,Heilongjiang,China,NAC,Asia,Palearctic,Temperate continental forest
"Dahailin Populus, Betula",44.3,128.4,55.3,89,2TDB,,biomass_ag_C,NAC,Heilongjiang,China,NAC,Asia,Palearctic,Temperate continental forest
Dalongsi,38.7,100.0,120.5,193,2TEN,,biomass_ag_C,Qilian,Qinghai,China,NAC,Asia,Palearctic,Temperate mountain system
Dalongsi,38.7,100.0,79.9,165,2TEN,,biomass_ag_C,Qilian,Qinghai,China,NAC,Asia,Palearctic,Temperate mountain system
Dalongsi,38.7,100.0,50.8,255,2TEN,,biomass_ag_C,Qilian,Qinghai,China,NAC,Asia,Palearctic,Temperate mountain system
"Dalu Cupressus, Sabina",33.59,103.57,48.2,86,2TEN,,biomass_ag_C,Nanping,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
"Dalu Picea, Abies 1",33.63,103.76,105.2,120,2TEN,,biomass_ag_C,Nanping,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
"Dalu Picea, Abies 10",33.6,103.33,94.9,137,2TEN,,biomass_ag_C,Nanping,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
"Dalu Picea, Abies 11",33.6,103.74,58.0,130,2TEN,,biomass_ag_C,Nanping,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
"Dalu Picea, Abies 12",32.6,103.76,92.0,210,2TEN,,biomass_ag_C,Nanping,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
"Dalu Picea, Abies 2",33.52,104.9,105.1,208,2TEN,,biomass_ag_C,Nanping,Sichuan/Gansu?,China,NAC,Asia,Palearctic,Temperate mountain system
"Dalu Picea, Abies 3",33.57,103.67,94.3,151,2TEN,,biomass_ag_C,Nanping,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
"Dalu Picea, Abies 4",33.65,103.75,133.7,118,2TEN,,biomass_ag_C,Nanping,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
"Dalu Picea, Abies 5",33.52,103.76,70.2,143,2TEN,,biomass_ag_C,Nanping,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
"Dalu Picea, Abies 6",33.62,103.73,73.4,115,2TEN,,biomass_ag_C,Nanping,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
"Dalu Picea, Abies 7",33.67,103.77,78.8,94,2TEN,,biomass_ag_C,Nanping,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
"Dalu Picea, Abies 8",33.58,103.73,63.9,121,2TEN,,biomass_ag_C,Nanping,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
"Dalu Picea, Abies 9",33.3,103.75,90.4,103,2TEN,,biomass_ag_C,Nanping,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
"Dalu Populus, Betula 1",33.53,104.91,46.5,98,2TDB,,biomass_ag_C,Nanping,Sichuan/Gansu?,China,NAC,Asia,Palearctic,Temperate mountain system
"Dalu Populus, Betula 2",33.57,103.69,61.7,110,2TDB,,biomass_ag_C,Nanping,Sichuan,China,NAC,Asia,Palearctic,Temperate mountain system
Daofu,31.0,101.1,131.5,165,2TEN,,biomass_ag_C,NAC,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
"Dashennongjia, Fangxian",32.0,110.7,54.8,159,2TEN,,biomass_ag_C,Fangxian,Hubei,China,NAC,Asia,Palearctic,Subtropical mountain system
"Dashennongjia, Xingshan",31.2,110.7,33.7,125,2TEN,,biomass_ag_C,Xingshan,Hubei,China,NAC,Asia,Palearctic,Subtropical mountain system
Daxing'anling 3,52.73,123.83,28.0,NI,2TDN,,biomass_ag_C,NAC,Heilongjiang,China,NAC,Asia,Palearctic,Boreal coniferous forest
Daxing'anling 4,52.73,123.83,30.0,NI,2TDN,,biomass_ag_C,NAC,Heilongjiang,China,NAC,Asia,Palearctic,Boreal coniferous forest
Daxing'anling 5,52.73,123.83,93.0,NI,2TDN,,biomass_ag_C,NAC,Heilongjiang,China,NAC,Asia,Palearctic,Boreal coniferous forest
Daxing'anling 6,52.2,120.8,56.9,171,2TDN,,biomass_ag_C,NAC,Inner Mongol,China,NAC,Asia,Palearctic,Boreal coniferous forest
Daxing'anling 7,52.5,124.5,25.0,100,2TDN,,biomass_ag_C,NAC,Inner Mongol/Heilongjiang?,China,NAC,Asia,Palearctic,Boreal coniferous forest
Daxinganling,50.83,121.5,26.44,40,2TDN,,biomass_ag_C,NAC,Inner Mongol,China,NAC,Asia,Palearctic,Boreal coniferous forest
Deer Canyon Preserve Pinyon Juniper Woodland,34.36,-106.27,29.7,NI,2TEN,,biomass_ag_C,NAC,New Mexico,United States of America,NAC,North America,Nearctic,Subtropical steppe
Deqin Larix,28.62,99.22,57.1,100,2TDN,,biomass_ag_C,NAC,Yunnan/Sichuan?,China,NAC,Asia,Palearctic,Subtropical mountain system
"Deqin Picea, Abies 1",28.18,98.96,234.3,150,2TEN,,biomass_ag_C,NAC,Yunnan,China,NAC,Asia,Palearctic,Subtropical mountain system
"Deqin Picea, Abies 2",27.82,99.26,218.8,150,2TEN,,biomass_ag_C,NAC,Yunnan,China,NAC,Asia,Palearctic,Subtropical mountain system
"Deqin Picea, Abies 3",28.62,98.65,132.7,150,2TEN,,biomass_ag_C,NAC,Yunnan,China,NAC,Asia,Palearctic,Subtropical mountain system
"Deqin Picea, Abies 4",28.53,98.84,106.4,120,2TEN,,biomass_ag_C,NAC,Yunnan,China,NAC,Asia,Palearctic,Subtropical mountain system
"Deqin Picea, Abies 5",28.0,99.15,166.6,175,2TEN,,biomass_ag_C,NAC,Yunnan,China,NAC,Asia,Palearctic,Subtropical mountain system
"Deqin Picea, Abies 6",28.9,99.02,79.8,100,2TEN,,biomass_ag_C,NAC,Yunnan,China,NAC,Asia,Palearctic,Subtropical mountain system
"Deqin Picea, Abies 7",27.82,99.14,191.4,200,2TEN,,biomass_ag_C,NAC,Yunnan,China,NAC,Asia,Palearctic,Subtropical mountain system
Dingdong,27.9,101.2,56.8,93,2TEN,,biomass_ag_C,Muli,Sichuan,China,NAC,Asia,Palearctic,Subtropical mountain system
Dinghushan Biosphere Reserve,23.175,112.5417,40.6,69,2TEN,,biomass_ag_C,Zhaoqing,Guangdong,China,Oxisol (lateritic red earth),Asia,IndoMalay,Subtropical humid forest
Dinghushan Biosphere Reserve,23.175,112.5417,116.2,100,2TE,,biomass_ag_C,Zhaoqing,Guangdong,China,Oxisol (lateritic red earth),Asia,IndoMalay,Subtropical humid forest
Dinghushan Biosphere Reserve,23.175,112.5417,147.8,999,2TEB,,biomass_ag_C,Zhaoqing,Guangdong,China,Oxisol (lateritic red earth),Asia,IndoMalay,Subtropical humid forest
Dinghushan Biosphere Reserve,23.175,112.5417,61.3,58,2TEN,,biomass_ag_C,Zhaoqing,Guangdong,China,Oxisol (lateritic red earth),Asia,IndoMalay,Subtropical humid forest
Dinghushan Biosphere Reserve,23.175,112.5417,82.1,105,2TE,,biomass_ag_C,Zhaoqing,Guangdong,China,Oxisol (lateritic red earth),Asia,IndoMalay,Subtropical humid forest
Dinghushan Biosphere Reserve,23.175,112.5417,145.2,999,2TEB,,biomass_ag_C,Zhaoqing,Guangdong,China,Oxisol (lateritic red earth),Asia,IndoMalay,Subtropical humid forest
